mouse_1.x,mouse_1.y,mouse_1.leftButton,mouse_1.midButton,mouse_1.rightButton,mouse_1.time,mouse_1.clicked_name,participant,date,expName,psychopyVersion,OS,frameRate,condition,stage,scene,correct object,left option,middle option,right option,memory resp,memory rt,accuracy,score,x mouse,y mouse,internal lure,external lure,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Trials,Picture_Recognition,Picture_Recognition_2,Q1_l,Q1_m,Q1_r,Feedback_l,Feedback_m,Feedback_r,internal_lure,external_lure,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,mouse_3.clicked_name
,,,,,,,999,2024-07-19_10h18.53.096,N_forgetting_curve,2023.1.3,Win32,60.24096386,e,main,images/scenes/berge_sommer.png,images/objects/edelweiss.png,images/objects/edelweiss.png,images/objects/wanderhose.png,images/objects/milchkanne.png,images/objects/edelweiss.png,2.6823,1,10,[-0.49814814108389394],[-0.20555559794108072],images/objects/milchkanne.png,images/objects/wanderhose.png,-0.498148141,-0.205555598,1,0,0,2.6823,image_left,0,31,31,19,1,19,images/scenes/berge_sommer.png,images/objects/edelweiss.png,images/objects/edelweiss.png,images/objects/wanderhose.png,images/objects/milchkanne.png,Korrekt,Nicht_korrekt,Nicht_korrekt,images/objects/milchkanne.png,images/objects/wanderhose.png,,,,,,,
,,,,,,,999,2024-07-19_10h18.53.096,N_forgetting_curve,2023.1.3,Win32,60.24096386,e,main,images/scenes/stadtbrunnen.png,images/objects/stadtfahrrader.png,images/objects/stadtfahrrader.png,images/objects/osterschmuck.png,images/objects/riesenradgondel.png,images/objects/stadtfahrrader.png,2.4322,1,11,[-0.49814814108389394],[-0.20555559794108072],images/objects/riesenradgondel.png,images/objects/osterschmuck.png,-0.498148141,-0.205555598,1,0,0,2.4322,image_left,0,32,32,42,1,42,images/scenes/stadtbrunnen.png,images/objects/stadtfahrrader.png,images/objects/stadtfahrrader.png,images/objects/osterschmuck.png,images/objects/riesenradgondel.png,Korrekt,Nicht_korrekt,Nicht_korrekt,images/objects/riesenradgondel.png,images/objects/osterschmuck.png,,,,,,,
,,,,,,,999,2024-07-19_10h18.53.096,N_forgetting_curve,2023.1.3,Win32,60.24096386,e,main,images/scenes/waschsalon.png,images/objects/bademantel.png,images/objects/socken.png,images/objects/zeitschriften.png,images/objects/bademantel.png,images/objects/socken.png,2.6547,0,11,[-0.4416666737309209],[-0.197222250479239],images/objects/zeitschriften.png,images/objects/socken.png,-0.441666674,-0.19722225,1,0,0,2.6547,image_left,0,33,33,6,1,6,images/scenes/waschsalon.png,images/objects/bademantel.png,images/objects/socken.png,images/objects/zeitschriften.png,images/objects/bademantel.png,Nicht_korrekt,Nicht_korrekt,Korrekt,images/objects/zeitschriften.png,images/objects/socken.png,,,,,,,
,,,,,,,999,2024-07-19_10h18.53.096,N_forgetting_curve,2023.1.3,Win32,60.24096386,e,main,images/scenes/fussballplatz.png,images/objects/aufsitzrasenmaher.png,images/objects/aufsitzrasenmaher.png,images/objects/trillerpfeife.png,images/objects/fahrkarten.png,images/objects/trillerpfeife.png,3.2809,0,11,[0.010185171056676793],[-0.17037038449887876],images/objects/fahrkarten.png,images/objects/trillerpfeife.png,0.010185171,-0.170370384,1,0,0,3.2809,image_middle,0,34,34,44,1,44,images/scenes/fussballplatz.png,images/objects/aufsitzrasenmaher.png,images/objects/aufsitzrasenmaher.png,images/objects/trillerpfeife.png,images/objects/fahrkarten.png,Korrekt,Nicht_korrekt,Nicht_korrekt,images/objects/fahrkarten.png,images/objects/trillerpfeife.png,,,,,,,
,,,,,,,999,2024-07-19_10h18.53.096,N_forgetting_curve,2023.1.3,Win32,60.24096386,e,main,images/scenes/altstadt.png,images/objects/glocken.png,images/objects/kopfsteinpflaster.png,images/objects/glocken.png,images/objects/wasche.png,images/objects/kopfsteinpflaster.png,2.5734,0,11,[-0.5222222010294596],[-0.09722222222222222],images/objects/wasche.png,images/objects/kopfsteinpflaster.png,-0.522222201,-0.097222222,1,0,0,2.5734,image_left,0,35,35,2,1,2,images/scenes/altstadt.png,images/objects/glocken.png,images/objects/kopfsteinpflaster.png,images/objects/glocken.png,images/objects/wasche.png,Nicht_korrekt,Korrekt,Nicht_korrekt,images/objects/wasche.png,images/objects/kopfsteinpflaster.png,,,,,,,
,,,,,,,999,2024-07-19_10h18.53.096,N_forgetting_curve,2023.1.3,Win32,60.24096386,e,main,images/scenes/schwimmbad.png,images/objects/schwimmreifen.png,images/objects/schwimmreifen.png,images/objects/handtuch.png,images/objects/boje.png,images/objects/schwimmreifen.png,4.1899,1,12,[-0.4888888818246347],[-0.13333334746184172],images/objects/handtuch.png,images/objects/boje.png,-0.488888882,-0.133333347,1,0,0,4.1899,image_left,0,36,36,48,1,48,images/scenes/schwimmbad.png,images/objects/schwimmreifen.png,images/objects/schwimmreifen.png,images/objects/handtuch.png,images/objects/boje.png,Korrekt,Nicht_korrekt,Nicht_korrekt,images/objects/handtuch.png,images/objects/boje.png,,,,,,,
,,,,,,,999,2024-07-19_10h18.53.096,N_forgetting_curve,2023.1.3,Win32,60.24096386,e,main,images/scenes/nagelstudio.png,images/objects/geld.png,images/objects/leselampe.png,images/objects/nagelfeile.png,images/objects/geld.png,images/objects/nagelfeile.png,4.3757,0,12,[-0.09814813401963976],[-0.1527777777777778],images/objects/leselampe.png,images/objects/nagelfeile.png,-0.098148134,-0.152777778,1,0,0,4.3757,image_middle,0,37,37,9,1,9,images/scenes/nagelstudio.png,images/objects/geld.png,images/objects/leselampe.png,images/objects/nagelfeile.png,images/objects/geld.png,Nicht_korrekt,Nicht_korrekt,Korrekt,images/objects/leselampe.png,images/objects/nagelfeile.png,,,,,,,
,,,,,,,999,2024-07-19_10h18.53.096,N_forgetting_curve,2023.1.3,Win32,60.24096386,e,main,images/scenes/wasserturm.png,images/objects/satellit.png,images/objects/satellit.png,images/objects/altes_telefon.png,images/objects/alte_holztur.png,images/objects/alte_holztur.png,2.2243,0,12,[0.7416667231807003],[-0.17314819053367334],images/objects/altes_telefon.png,images/objects/alte_holztur.png,0.741666723,-0.173148191,1,0,0,2.2243,image_right,0,38,38,0,1,0,images/scenes/wasserturm.png,images/objects/satellit.png,images/objects/satellit.png,images/objects/altes_telefon.png,images/objects/alte_holztur.png,Korrekt,Nicht_korrekt,Nicht_korrekt,images/objects/altes_telefon.png,images/objects/alte_holztur.png,,,,,,,
,,,,,,,999,2024-07-19_10h18.53.096,N_forgetting_curve,2023.1.3,Win32,60.24096386,e,main,images/scenes/sushi_restaurant.png,images/objects/gabel.png,images/objects/gabel.png,images/objects/sushi.png,images/objects/karotten.png,images/objects/gabel.png,1.9154,1,13,[-0.3888888888888889],[-0.23796300534848813],images/objects/karotten.png,images/objects/sushi.png,-0.388888889,-0.237963005,1,0,0,1.9154,image_left,0,39,39,30,1,30,images/scenes/sushi_restaurant.png,images/objects/gabel.png,images/objects/gabel.png,images/objects/sushi.png,images/objects/karotten.png,Korrekt,Nicht_korrekt,Nicht_korrekt,images/objects/karotten.png,images/objects/sushi.png,,,,,,,
,,,,,,,999,2024-07-19_10h18.53.096,N_forgetting_curve,2023.1.3,Win32,60.24096386,e,main,images/scenes/kunstgalerie.png,images/objects/stockelschuhe.png,images/objects/podest.png,images/objects/stockelschuhe.png,images/objects/overhead.png,images/objects/podest.png,2.7147,0,13,[-0.5370370370370371],[-0.23148148148148148],images/objects/overhead.png,images/objects/podest.png,-0.537037037,-0.231481481,1,0,0,2.7147,image_left,0,40,40,59,1,59,images/scenes/kunstgalerie.png,images/objects/stockelschuhe.png,images/objects/podest.png,images/objects/stockelschuhe.png,images/objects/overhead.png,Nicht_korrekt,Korrekt,Nicht_korrekt,images/objects/overhead.png,images/objects/podest.png,,,,,,,
